type,spurious pulses,hamming distance
jitter PRI,0,0
dwell PRI,0,0
stagger PRI,0,0
agile PRI,0,0
slide PRI,0,0
jitter PRI,0.1,8.35E-05
dwell PRI,0.1,4.96E-05
stagger PRI,0.1,5.62E-05
agile PRI,0.1,5.65289E-05
slide PRI,0.1,2.81E-05
jitter PRI,0.2,1.26E-04
dwell PRI,0.2,0.000234028
stagger PRI,0.2,4.93E-05
agile PRI,0.2,6.88E-05
slide PRI,0.2,9.65E-05
jitter PRI,0.3,1.67E-04
dwell PRI,0.3,0.000257396
stagger PRI,0.3,8.05E-05
agile PRI,0.3,0.000250592
slide PRI,0.3,0.000272781
jitter PRI,0.4,1.90E-04
dwell PRI,0.4,0.000239286
stagger PRI,0.4,0.00017602
agile PRI,0.4,0.000372449
slide PRI,0.4,0.000227041
jitter PRI,0.5,1.90E-04
dwell PRI,0.5,0.000354222
stagger PRI,0.5,0.000426667
agile PRI,0.5,0.000423111
slide PRI,0.5,0.000210222